State,Airport Name,Loc ID,Associated City,County,Enplanements,,,,,,,,,,,,,,
AK,Shishmaref,SHH,Shishmaref,Nome (CA),"3,366",,,,,,,,,,,,,,
AK,Gambell,GAM,Gambell,Nome (CA),"3,309",,,,,,,,,,,,,,
AK,Kalskag,KLG,Kalskag,Kuskokwim,"3,292",,,,,,,,,,,,,,
AK,Akiachak,Z13,Akiachak,Bethel (CA),"3,279",,,,,,,,,,,,,,
AK,Bob Baker Memorial,IAN,Kiana,Kobuk,"3,276",,,,,,,,,,,,,,
AK,Marshall Don Hunter Sr,MDM,Marshall,Wade Hampton (CA),"3,179",,,,,,,,,,,,,,
AK,Ralph M Calhoun Memorial,TAL,Tanana,Yukon-Koyukuk,"2,997",,,,,,,,,,,,,,
AK,Tununak,4KA,Tununak,Bethel (CA),"2,963",,,,,,,,,,,,,,
AK,Huslia,HLA,Huslia,Yukon-Koyukuk,"2,936",,,,,,,,,,,,,,
AK,Coldfoot,CXF,Coldfoot,Wade Hampton (CA),"2,894",,,,,,,,,,,,,,
AK,Barter Island LRRS,BTI,Kaktovik,North Slope,"2,882",,,,,,,,,,,,,,
AK,Metlakatla,MTM,Metlakatla,Prince of Wales ,"2,880",,,,,,,,,,,,,,
AK,McGrath,MCG,McGrath,Kuskokwim,"2,877",,,,,,,,,,,,,,
AK,St Paul Island,SNP,Saint Paul Island,Aleutians West (CA),"2,778",,,,,,,,,,,,,,
AK,Nuiqsut,AQT,Nuiqsut,North Slope,"2,737",,,,,,,,,,,,,,
AK,Stebbins,WBB,Stebbins,Nome (CA),"2,710",,,,,,,,,,,,,,
AK,Atmautluak,4A2,Atmautluak,Bethel (CA),"2,684",,,,,,,,,,,,,,
AK,Nightmute,IGT,Nightmute,Bethel (CA),"2,670",,,,,,,,,,,,,,
AK,Craig,CGA,Craig,Prince of Wales ,"2,573",,,,,,,,,,,,,,
AK,Tuluksak,TLT,Tuluksak,Bethel (CA),"2,572",,,,,,,,,,,,,,
AK,Larsen Bay,2A3,Larsen Bay,Aleutian Islands,"2,519",,,,,,,,,,,,,,
