geoid,total_votes,votes_gop,votes_dem
6063.0,11260,6445,4561
6065.0,997156,449144,528340
6067.0,718440,259405,440808
6069.0,28830,10590,17628
6071.0,841130,366257,455859
6073.0,1602143,600094,964650
6075.0,443553,56417,378156
6077.0,288492,121098,161137
6079.0,159714,67436,88310
6081.0,374251,75584,291496
6083.0,200339,65736,129963
6085.0,850741,214612,617967
6087.0,144837,26937,114246
6089.0,92930,60789,30000
6091.0,1931,1142,730
6093.0,23472,13290,9593
6095.0,205877,69306,131639
6097.0,268317,61825,199938
6099.0,214954,104145,105841
6101.0,42644,24375,17367
6103.0,28731,19141,8911
6105.0,6259,3188,2851
6107.0,146885,77579,66105
6109.0,30408,17689,11978
6111.0,422825,162207,251388
6113.0,97294,27292,67598
6115.0,29796,17676,11230
8001.0,236740,95657,134202
8003.0,7808,3813,3759
8005.0,350183,127323,213607
8007.0,9144,5189,3738
8009.0,2225,1867,317
8011.0,2274,1503,732
8013.0,206111,42501,159089
8014.0,46632,16295,29077
8015.0,13718,6222,7160
8017.0,1136,993,131
8019.0,6548,2754,3604
8021.0,4333,2286,1959
8023.0,2094,741,1311
8025.0,1750,1271,437
8027.0,3635,2474,1112
8029.0,19370,13081,5887
8031.0,393829,71618,313293
8033.0,1449,1089,341
8035.0,231601,121270,104653
8037.0,29140,9892,18588
8041.0,378851,202828,161941
8039.0,18983,14027,4490
8043.0,25557,17517,7369
8045.0,30904,14717,15427
8047.0,4186,1833,2223
8049.0,9870,4883,4710
8051.0,11190,3735,7132
8053.0,632,353,255
8055.0,4406,2203,2076
8057.0,876,681,175
8059.0,377358,148417,218396
8061.0,903,795,98
8063.0,3871,3144,662
8067.0,35667,14233,20548
8065.0,3961,1497,2303
8069.0,224338,91489,126120
8071.0,7961,4284,3497
8073.0,2651,2135,470
8075.0,10532,8087,2218
8077.0,90623,56894,31536
8079.0,756,427,317
8081.0,7026,5670,1203
8083.0,15500,9306,5836
8085.0,24922,16770,7687
8087.0,13744,9593,3876
8089.0,9576,5756,3605
8091.0,4020,1577,2365
8093.0,12291,6991,4903
8095.0,2485,1958,486
8097.0,11957,2780,8989
8099.0,5561,4008,1458
8101.0,88301,42252,43772
8103.0,3691,3061,561
8105.0,6305,3660,2495
8107.0,16876,5925,10582
8109.0,3389,1413,1884
8111.0,562,202,342
8113.0,5147,1136,3924
8115.0,1446,1121,301
8117.0,18479,5322,12631
8119.0,16939,11241,5278
8121.0,3008,2595,369
8123.0,166974,96145,66060
8125.0,4981,4107,785
9001.0,472396,168445,297505
9003.0,449336,159024,283368
9005.0,107544,55601,50164
9007.0,99203,40665,56848
9009.0,417982,169893,242630
9011.0,139604,57110,79459
9013.0,80713,34838,44151
9015.0,57082,29141,26706
11001.0,41681,1725,39041
11002.0,32881,2918,29078
11003.0,44231,3705,39397
11004.0,45296,1913,42489
11005.0,46107,1769,43320
11006.0,62918,4337,56719
11007.0,38384,1134,36382
11008.0,32858,1085,30897
10001.0,87025,41009,44552
10003.0,287633,88364,195034
10005.0,129352,71230,56682
12001.0,142604,50972,89704
12003.0,14059,11911,2037
12005.0,93024,66097,25614
12007.0,13632,10334,3160
12009.0,360764,207883,148549
12011.0,957672,333409,618752
12013.0,6526,5274,1209
12015.0,116340,73243,42273
12017.0,93208,65352,27092
12019.0,124405,84480,38317
12021.0,207818,128950,77621
12023.0,33042,23836,8914
12027.0,12659,8313,4259
12029.0,8167,6759,1365
12031.0,492820,233762,252556
12033.0,170372,96674,70929
12035.0,71716,43043,28161
12037.0,6849,4675,2120
12039.0,23762,7465,16153
12041.0,9685,7895,1700
12043.0,5193,3782,1385
12045.0,8163,6113,1985
12047.0,5830,3815,1963
12049.0,8485,6122,2298
12051.0,12940,7906,4929
12053.0,108922,70412,37519
12055.0,52170,34873,16938
12057.0,712063,327398,376367
12059.0,9068,8080,924
12061.0,97484,58872,37844
12063.0,22419,15488,6766
12065.0,8451,4479,3897
12067.0,3658,3128,510
12069.0,211314,125859,83505
12071.0,393899,233247,157695
12073.0,162929,57453,103517
12075.0,23145,16749,6205
12077.0,3561,2846,694
12079.0,9380,5576,3747
12081.0,216958,124987,90166
12083.0,204376,127826,74858
12085.0,98726,61168,36893
12086.0,1156816,532833,617864
12087.0,48029,25693,21881
12089.0,58811,42566,15564
12091.0,116373,79798,34248
12093.0,15954,11470,4390
12095.0,647403,245398,395014
12097.0,172436,73480,97297
12099.0,773158,334711,433572
12101.0,301970,179621,119073
12103.0,559715,276209,277450
12105.0,343256,194586,145049
12107.0,36373,25514,10527
12113.0,106928,77385,27612
12115.0,270575,148370,120110
12117.0,260815,125241,132528
12109.0,176622,110946,63850
12111.0,172169,86831,84137
12119.0,92485,62761,29341
12121.0,21057,16410,4485
12123.0,10127,7751,2299
12125.0,6245,5133,1053
12127.0,307439,173821,130575
12129.0,18404,12874,5351
12131.0,43711,32947,10338
12133.0,12327,9876,2347
13001.0,8390,6570,1784
13003.0,3155,2300,825
13005.0,4667,4017,625
13007.0,1555,897,652
13009.0,18261,8903,9140
13011.0,8805,7795,932
13013.0,37946,26804,10453
13015.0,50486,37672,12091
13017.0,6564,4111,2393
13019.0,7744,6419,1269
13021.0,70763,26559,43408
13023.0,5710,4329,1312
13025.0,7749,6993,700
13027.0,7101,4261,2791
13029.0,21349,14240,6738
13031.0,30109,18387,11248
13033.0,10685,5400,5208
13035.0,11776,8406,3274
13037.0,2198,923,1263
13039.0,23698,15249,7967
13043.0,4431,3133,1269
13045.0,54502,37476,16236
13047.0,32626,25167,6932
13049.0,4568,3419,1105
13051.0,133484,53232,78247
13053.0,1582,880,667
13055.0,10053,8064,1854
13057.0,144859,99585,42779
13059.0,51421,14450,36055
13061.0,1436,637,791
13063.0,112391,15811,95466
13065.0,2862,2105,744
13067.0,394022,165436,221847
13069.0,15214,10578,4511
13071.0,16087,11777,4190
13073.0,80620,50013,29232
13075.0,7037,4900,2059
13077.0,76845,51501,24210
13079.0,6102,4428,1615
13081.0,8036,4985,2982
13083.0,7447,6066,1261
13085.0,16084,13398,2486
13089.0,370877,58377,308162
13087.0,11628,6755,4782
13091.0,8072,5843,2172
13093.0,4106,2159,1911
13095.0,35290,10441,24568
13097.0,69139,25454,42814
13099.0,5188,2710,2450
13101.0,1442,1256,167
13103.0,31579,23361,7718
13105.0,9176,6226,2879
13107.0,9507,6553,2886
13109.0,4248,2888,1324
13111.0,14849,12169,2570
13113.0,72012,37956,33062
13115.0,41365,28906,11917
13117.0,129377,85123,42208
13119.0,10767,9069,1593
13121.0,523931,137247,380212
13123.0,16527,13429,2932
13125.0,1565,1402,155
13127.0,41994,25617,15882
13129.0,24044,19405,4384
13131.0,10707,7034,3619
13133.0,11247,7066,4087
13135.0,414350,166400,241994
13137.0,20442,16637,3562
13139.0,90602,64183,25033
13141.0,4153,1154,2976
13143.0,14248,12330,1791
13145.0,20002,14319,5457
13147.0,12734,9465,3157
13149.0,5394,4519,824
13151.0,123016,48259,73443
13153.0,74872,41540,32239
13155.0,4168,3134,1008
13157.0,37685,29502,7642
13159.0,7647,5822,1761
13161.0,5774,4695,1028
13163.0,7639,3537,4058
13165.0,3455,2161,1266
13167.0,4100,2850,1222
13169.0,14940,9940,4882
13171.0,9045,6331,2620
13173.0,3576,2509,1019
13175.0,22732,14493,8074
13177.0,16719,12007,4558
13179.0,21394,7959,13104
13181.0,4641,3173,1432
13183.0,5660,3527,2035
13185.0,46375,25692,20116
13187.0,15545,12163,3126
13193.0,4663,1783,2858
13195.0,14945,11326,3411
13197.0,3626,2275,1312
13189.0,10456,6169,4168
13191.0,6696,4016,2612
13199.0,10880,6524,4287
13201.0,2834,2066,748
13205.0,8963,4935,3993
13207.0,15592,11057,4385
13209.0,3968,2960,980
13211.0,11710,8231,3353
13213.0,15395,12944,2301
13215.0,80528,30107,49446
13217.0,54263,23869,29789
13219.0,25193,16595,8162
13221.0,8138,5592,2439
13223.0,85417,54517,29695
